"record_id","redcap_event_name","date_dmy","date_mdy","date_ymd","datetime_dmy_hm","datetime_mdy_hm","datetime_ymd_hm","datetime_dmy_hms","datetime_mdy_hms","datetime_ymd_hms","time_hhmmss","time_hhmm","time_mmss","fieldtovar_datetimes_complete","treatment","randomization_complete","row_purpose","prereq_radio","prereq_checkbox___1","prereq_checkbox___2","prereq_checkbox___abc","prereq_checkbox___4","prereq_number","prereq_date","prereq_yesno","no_prereq_number","no_prereq_checkbox___1","no_prereq_checkbox___2","no_prereq_checkbox___3","one_prereq_non_checkbox","one_prereq_checkbox","two_prereq_and","two_prereq_or","two_prereq_and_one_check","three_prereq_andor","one_prereq_inequality","branching_logic_complete","file_import_field","left_operand","right_operand","calc_addition","calc_squared","text_test","date_dmy_test","date_mdy_test","date_ymd_test","datetime_dmy_hm_test","datetime_mdy_hm_test","datetime_ymd_hm_test","datetime_dmy_hms_test","datetime_mdy_hms_test","datetime_ymd_hms_test","email_test","integer_test","letters_only_test","number_test","number_1dp_comma_test","number_1dp_test","number_2dp_comma_test","number_2dp_test","phone_test","time_hhmm_test","time_mmss_test","zipcode_test","notes_test","dropdown_test","radio_test","checkbox_test___x","checkbox_test___y","checkbox_test___z","yesno_test","truefalse_test","signature_test","file_upload_test","slider_no_label_test","slider_text_label_test","slider_show_number_test","data_import_export_complete"
"17","event_1_arm_1",,,,,,,,,,,,,"0",,"0","Pre-requisite field: prereq_checkbox = ABC  Target field: one_prereq_checkbox    Desired outcome: With a value in the target, no missing value is identified.","4","0","0","1","0","1","2023-03-08","0","123456","0","1","0",,"2023-03-08",,,,,,"0",,"10","37","47","100","cillum sunt ea occaecat","2023-07-24","2023-10-04","2024-02-14","2023-10-29 21:23","2023-06-07 05:11","2024-01-01 09:54:07","2023-05-16 11:23:35","2023-11-01 17:34:33","2023-11-16 19:01:10","in@amet.com","2","sed","10.1060976460576","26,5","37.2","37,56","71.52","(555) 555-3942","19:38","56:03","10258","voluptate eu aliqua. Duis nostrud aliquip pariatur. ut commodo ad laborum. ullamco","3","c","0","1","0","1","0",,,"26","96","37","0"
"18","event_1_arm_1",,,,,,,,,,,,,"0",,"0","Pre-requisite field: [prereq_yesno] = '0' and [prereq_radio] = 'ABC'  Target field: two_prereq_and    Desired outcome: With no value in the target, a missing value is identified.","ABC","0","0","0","1","1","2023-03-08","0","123456","0","1","0",,,,,,,,"0",,"5","47","52","25","minim esse Lorem in","2024-03-24","2023-10-19","2023-11-21","2024-01-20 20:42","2023-06-16 10:50","2024-03-19 19:27:49","2023-05-05 07:48:15","2023-11-26 14:14:57","2024-02-04 11:40:05","ad@nulla.com","7","Excepteur","24.9271705793217","40,7","35.8","29,52","48.37","(555) 555-5103","02:24","39:37","74026","qui ut ullamco ex elit, proident, sit minim eu eiusmod cillum voluptate","1","a","1","1","0","0","1",,,"49","8","22","0"
"19","event_1_arm_1",,,,,,,,,,,,,"0",,"0","Pre-requisite field: [prereq_yesno] = '0' and [prereq_radio] = 'ABC'  Target field: two_prereq_and    Desired outcome: With a value in the target, no missing value is identified.","ABC","0","0","0","1","1","2023-03-08","0","123456","1","0","0",,,"2",,,,,"0",,"2","36","38","4","culpa Duis anim proident,","2023-08-08","2023-08-18","2023-12-01","2024-01-22 00:51","2023-04-30 11:10","2023-10-18 09:02:00","2023-07-08 22:28:10","2023-05-27 02:52:30","2024-02-29 00:14:20","Lorem@proident.net","51","quis","13.5515306750312","22,2","82.3","38,60","55.57","(555) 555-4085","06:12","13:22","68105","occaecat ad elit, ea proident, quis ut aute aliquip dolore amet, qui","1","b","1","0","1","1","1",,,"29","2","95","0"
"20","event_1_arm_1",,,,,,,,,,,,,"0",,"0","Pre-requisite field: [prereq_yesno] = '1' or [prereq_date] > '2024-01-01'    Target field: two_prereq_or    Desired outcome: With no value in the target, a missing value is identified.","4","0","0","0","1","1","2027-03-10","1","123456","0","1","0",,,,,,,,"0",,"41","22","63","1681","amet, in ut sed","2023-12-05","2023-07-06","2023-06-22","2024-03-21 19:08","2023-08-20 21:34","2023-08-05 16:00:07","2024-04-13 03:17:18","2023-08-25 15:38:15","2024-02-21 07:26:42","nulla@consequat.com","46","ut","24.102904680185","32,5","56.5","34,27","51.28","(555) 555-3605","06:00","45:22","25716","ea laborum. in proident, pariatur. consectetur minim veniam, irure dolor ipsum Ut","1","c","1","0","0","1","0",,,"16","55","58","0"
"21","event_1_arm_1",,,,,,,,,,,,,"0",,"0","Pre-requisite field: [prereq_yesno] = '1' or [prereq_date] > '2024-01-01'    Target field: two_prereq_or    Desired outcome: With a value in the target, no missing value is identified.","4","0","0","0","1","1","2025-03-17","1","123456","1","0","0",,,,"0",,,,"0",,"49","34","83","2401","eu amet, mollit minim","2024-01-22","2023-05-04","2024-03-23","2024-01-12 09:16","2023-05-25 18:47","2024-04-13 09:21:03","2023-09-29 14:50:23","2024-02-05 19:52:50","2024-02-28 16:01:58","ea@nisi.com","59","Lorem","22.293280926533","21,6","42.3","14,99","35.49","(555) 555-5401","10:24","40:07","02485","ut aute reprehenderit cupidatat sed culpa amet, commodo enim sint ipsum labore","2","a","0","1","0","1","0",,,"16","99","67","0"
"22","event_1_arm_1",,,,,,,,,,,,,"0",,"0","Pre-requisite field: [prereq_checkbox(1)] = '1' or [prereq_number] = '5' (This tests the use of a checkbox in the branching logic. In this case, the checkbox satisfies the logic)    Target field: two_prereq_and_one_check    Desired outcome: With no value in the target, a missing value is identified.","4","1","0","0","0","1","2023-03-09","0","123456","0","0","1",,,,,,,,"0",,"36","11","47","1296","commodo nulla consequat. occaecat","2023-12-01","2024-04-02","2023-04-22","2024-04-08 03:00","2023-12-22 19:25","2024-03-20 03:14:04","2023-08-29 12:28:30","2024-02-15 02:39:15","2024-02-23 18:56:57","quis@do.com","85","culpa","21.1691534519196","11,8","54.7","31,12","89.90","(555) 555-1453","08:36","59:57","41678","ullamco ut pariatur. nostrud ex anim tempor Duis esse cupidatat in non","2","a","0","0","1","1","1",,,"28","49","56","0"
"23","event_1_arm_1",,,,,,,,,,,,,"0",,"0","Pre-requisite field: [prereq_checkbox(1)] = '1' or [prereq_number] = '5' (This tests the use of a checkbox in the branching logic. In this case, the number field satisfies the logic)    Target field: two_prereq_and_one_check    Desired outcome: With no value in the target, a missing value is identified.","4","0","0","0","1","5","2023-03-09","0","123456","1","1","0",,,,,,,,"0",,"40","40","80","1600","ex consectetur elit, adipiscing","2023-06-19","2024-03-17","2023-09-06","2024-01-26 20:51","2023-06-20 13:49","2023-10-05 10:46:08","2023-11-22 08:55:52","2023-06-30 10:13:00","2023-07-04 03:54:47","culpa@occaecat.net","56","nulla","28.9448284637183","19,7","59.3","39,96","76.07","(555) 555-3201","05:52","19:27","01294","ipsum labore sit mollit in exercitation laboris incididunt id ut eiusmod consequat.","1","c","1","0","0","1","1",,,"23","81","8","0"
"24","event_1_arm_1",,,,,,,,,,,,,"0",,"0","Pre-requisite field: [prereq_checkbox(1)] = '1' or [prereq_number] = '5' (This tests the use of a checkbox in the branching logic. In this case, the checkbox satisfies the logic)    Target field: two_prereq_and_one_check    Desired outcome: With a value in the target, no missing value is identified.","4","0","0","0","1","5","2023-03-09","0","123456","1","0","1",,,,,"value",,,"0",,"22","27","49","484","ut ullamco mollit Duis","2023-11-10","2024-01-20","2023-12-05","2024-01-02 09:01","2024-01-08 12:47","2024-02-10 00:22:18","2023-07-09 18:43:11","2024-01-26 07:22:29","2024-04-01 16:28:24","dolor@laborum.net","81","occaecat","28.0201707640663","16,5","64.3","20,54","46.49","(555) 555-7509","19:42","06:06","94378","irure veniam, velit amet, labore consectetur proident, ullamco Lorem et ad in","3","b","1","0","1","1","1",,,"34","64","47","0"
"25","event_1_arm_1",,,,,,,,,,,,,"0",,"0","Pre-requisite field: ([prereq_radio] = '2' and [prereq_yesno] = '0') or [prereq_checkbox(2)] = '1'      Target field: three_prereq_andor    Desired outcome: With no value in the target, a missing value is identified.","2","0","0","0","1","1","2023-03-09","0","123456","1","1","1",,,,,,,,"0",,"19","13","32","361","nisi ullamco Ut nostrud","2023-09-07","2024-02-18","2024-04-07","2023-06-22 07:39","2024-04-06 07:33","2023-08-23 07:22:42","2023-08-11 05:10:52","2024-03-06 08:39:48","2023-05-08 19:10:29","proident@in.net","49","deserunt","25.1035968074575","11,5","30.6","18,83","84.50","(555) 555-7365","14:15","41:51","07859","aliquip Ut mollit consectetur eiusmod velit non Duis ullamco deserunt dolor exercitation","3","a","0","1","0","0","0",,,"29","45","61","0"
"26","event_1_arm_1",,,,,,,,,,,,,"0",,"0","Pre-requisite field: ([prereq_radio] = '2' and [prereq_yesno] = '0') or [prereq_checkbox(2)] = '1'    Target field: three_prereq_andor    Desired outcome: With a value in the target, no missing value is identified.","4","0","1","0","0","1","2023-03-09","0","123456","1","0","0",,,,,,"2",,"0",,"37","14","51","1369","dolor laboris dolor aliqua.","2023-10-28","2023-07-20","2024-01-08","2024-03-28 21:39","2023-11-15 17:07","2023-09-03 05:53:45","2024-01-21 18:02:23","2023-05-18 02:16:59","2024-03-26 01:42:53","Duis@reprehenderit.com","37","tempor","13.2899758638814","15,5","75.5","12,42","70.03","(555) 555-5407","00:13","59:52","58201","ad exercitation velit ut Excepteur incididunt dolore eiusmod non amet, laborum. enim","3","b","1","1","0","0","0",,,"15","11","73","0"
"27","event_1_arm_1",,,,,,,,,,,,,"0",,"0","Pre-requisite field: [prereq_number] < 0      Target field: one_prereq_inequality    Desired outcome: With no value in the target, a missing value is identified.","4","0","0","0","1","-100","2023-03-09","0","123456","0","1","0",,,,,,,,"0",,"46","43","89","2116","do culpa amet, aliquip","2023-07-26","2024-03-09","2024-04-08","2023-09-11 18:50","2023-04-21 23:41","2023-06-26 00:10:22","2024-01-29 09:47:52","2023-09-08 12:47:09","2023-11-14 18:40:23","sunt@dolor.net","99","fugiat","15.8870569337159","42,2","70.8","47,75","87.57","(555) 555-4651","02:06","06:06","98652","amet, dolore esse mollit consequat. ex quis voluptate aliqua. deserunt eu dolore","3","a","0","1","0","1","1",,,"45","15","87","0"
"28","event_1_arm_1",,,,,,,,,,,,,"0",,"0","Pre-requisite field: [prereq_number] < 0    Target field: one_prereq_inequality    Desired outcome: With a value in the target, no missing value is identified.","4","0","0","0","1","-100","2023-03-09","0","123456","0","1","0",,,,,,,"0","0",,"26","38","64","676","eu dolore deserunt occaecat","2023-11-13","2023-09-07","2024-02-19","2023-09-17 21:12","2024-02-04 15:29","2024-04-11 19:35:03","2024-02-09 22:01:10","2023-05-29 00:44:40","2023-07-12 11:15:53","esse@id.net","53","anim","11.9407200766727","14,9","50.3","17,43","60.55","(555) 555-6839","07:44","45:22","82459","dolor sit in mollit in ea dolore Lorem adipiscing ex sint ullamco","1","b","0","1","0","0","1",,,"29","91","15","0"
"29","event_1_arm_1",,,,,,,,,,,,,"0",,"0","Tests if we can detect multiple missing values.     Desired result: missing values for the non-checkbox prerequisites and the evaluation fields that have no branching logic.",,"0","0","0","0",,,,,"0","0","0",,,,,,,,"0",,"30","42","72","900","ea commodo reprehenderit ex","2023-08-14","2023-06-18","2023-07-02","2024-03-25 19:26","2023-08-02 12:18","2024-02-24 09:48:24","2024-03-28 09:56:04","2023-05-21 23:42:38","2023-06-05 00:15:20","eu@ea.org","55","id","15.459941723384","40,2","74.7","35,07","56.35","(555) 555-4036","16:15","44:02","34860","ea do magna Duis id ipsum irure voluptate Lorem sit fugiat aute","2","b","1","1","0","1","1",,,"11","9","64","0"
"30","event_1_arm_1",,,,,,,,,,,,,"0",,"0",,,"0","0","0","0",,,,,"0","0","0",,,,,,,,"0","FileForImportExportTesting.txt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0",,,,,,,,"0"
