record_id,redcap_event_name,redcap_repeat_instrument,redcap_repeat_instance,redcap_data_access_group,record_id_complete,treatment,randomization_complete,email_test,letters_only_test,phone_test,text_test,zipcode_test,text_fields_complete,date_dmy_test,date_mdy_test,date_ymd_test,datetime_dmy_hm_test,datetime_mdy_hm_test,datetime_ymd_hm_test,datetime_dmy_hms_test,datetime_mdy_hms_test,datetime_ymd_hms_test,time_hhmm_test,time_mmss_test,dates_and_times_complete,integer_test,number_1dp_comma_test,number_1dp_test,number_2dp_comma_test,number_2dp_test,number_test,numbers_complete,slider_no_label_test,slider_show_number_test,slider_text_label_test,slider_fields_complete,checkbox_test___x,checkbox_test___y,checkbox_test___z,dropdown_test,radio_test,truefalse_test,yesno_test,multiple_choice_complete,file_upload_test,notes_test,signature_test,files_notes_descriptions_complete,left_operand,right_operand,calc_addition,calc_squared,calculated_fields_complete,row_purpose,prereq_radio,prereq_checkbox___1,prereq_checkbox___2,prereq_checkbox___abc,prereq_checkbox___4,prereq_number,prereq_date,prereq_yesno,no_prereq_number,no_prereq_checkbox___1,no_prereq_checkbox___2,no_prereq_checkbox___3,one_prereq_non_checkbox,one_prereq_checkbox,two_prereq_and,two_prereq_or,two_prereq_and_one_check,three_prereq_andor,one_prereq_inequality,branching_logic_complete,repeat_question_1,repeat_datetime,repeating_instrument_complete
7,event_1_arm_1,,,,0,,0,tempor@in.net,aliqua,"(555) 555-9705","non adipiscing minim sint",42038,0,2023-06-08,2023-10-30,2023-08-26,"2024-02-01 05:40","2023-10-05 18:41","2024-03-11 09:47","2023-04-27 18:28:00","2023-08-13 08:36:00","2023-08-13 08:36:00",20:55,40:44,0,40,"28,8",75.5,"47,13",82.46,24.55718537,0,19,74,88,0,1,0,1,2,b,1,1,0,,,,,7,10,17,49,0,"Pre-requisite field: prereq_checkbox = ABC  Target field: one_prereq_checkbox    Desired outcome: With no value in the target, a missing value is identified.",4,0,0,1,0,1,2023-03-08,0,123456,0,0,1,,,,,,,,0,,,0
7,event_1_arm_1,files_notes_descriptions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,event_1_arm_1,,,,0,,0,in@amet.com,sed,"(555) 555-3942","cillum sunt ea occaecat",10258,0,2023-07-24,2024-02-14,2023-10-29,"2023-06-07 05:11","2024-01-01 09:54","2023-05-16 11:23","2023-11-01 17:34:00","2023-11-16 19:01:00","2023-11-16 19:01:00",19:38,56:03,0,2,"26,5",37.2,"37,56",71.52,10.10609765,0,26,96,37,0,0,1,0,3,c,1,0,0,,,,,10,37,47,100,0,"Pre-requisite field: prereq_checkbox = ABC  Target field: one_prereq_checkbox    Desired outcome: With a value in the target, no missing value is identified.",4,0,0,1,0,1,2023-03-08,0,123456,0,1,0,,2023-03-08,,,,,,0,,,0
8,event_1_arm_1,files_notes_descriptions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,event_1_arm_1,,,,0,,0,ad@nulla.com,Excepteur,"(555) 555-5103","minim esse Lorem in",74026,0,2024-03-24,2023-11-21,2024-01-20,"2023-06-16 10:50","2024-03-19 19:27","2023-05-05 07:48","2023-11-26 14:14:00","2024-02-04 11:40:00","2024-02-04 11:40:00",02:24,39:37,0,7,"40,7",35.8,"29,52",48.37,24.92717058,0,49,8,22,0,1,1,0,1,a,0,1,0,,,,,5,47,52,25,0,"Pre-requisite field: [prereq_yesno] = '0' and [prereq_radio] = 'ABC'  Target field: two_prereq_and    Desired outcome: With no value in the target, a missing value is identified.",ABC,0,0,0,1,1,2023-03-08,0,123456,0,1,0,,,,,,,,0,,,0
9,event_1_arm_1,files_notes_descriptions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,event_1_arm_1,,,,0,,0,Lorem@proident.net,quis,"(555) 555-4085","culpa Duis anim proident,",68105,0,2023-08-08,2023-12-01,2024-01-22,"2023-04-30 11:10","2023-10-18 09:02","2023-07-08 22:28","2023-05-27 02:52:00","2024-02-29 00:14:00","2024-02-29 00:14:00",06:12,13:22,0,51,"22,2",82.3,"38,60",55.57,13.55153068,0,29,2,95,0,1,0,1,1,b,1,1,0,,,,,2,36,38,4,0,"Pre-requisite field: [prereq_yesno] = '0' and [prereq_radio] = 'ABC'  Target field: two_prereq_and    Desired outcome: With a value in the target, no missing value is identified.",ABC,0,0,0,1,1,2023-03-08,0,123456,1,0,0,,,2,,,,,0,,,0
10,event_1_arm_1,files_notes_descriptions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,event_1_arm_1,,,,0,,0,nulla@consequat.com,ut,"(555) 555-3605","amet, in ut sed",25716,0,2023-12-05,2023-06-22,2024-03-21,"2023-08-20 21:34","2023-08-05 16:00","2024-04-13 03:17","2023-08-25 15:38:00","2024-02-21 07:26:00","2024-02-21 07:26:00",06:00,45:22,0,46,"32,5",56.5,"34,27",51.28,24.10290468,0,16,55,58,0,1,0,0,1,c,1,0,0,,,,,41,22,63,1681,0,"Pre-requisite field: [prereq_yesno] = '1' or [prereq_date] > '2024-01-01'    Target field: two_prereq_or    Desired outcome: With no value in the target, a missing value is identified.",4,0,0,0,1,1,2027-03-10,1,123456,0,1,0,,,,,,,,0,,,0
11,event_1_arm_1,files_notes_descriptions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,event_1_arm_1,,,,0,,0,ea@nisi.com,Lorem,"(555) 555-5401","eu amet, mollit minim",02485,0,2024-01-22,2024-03-23,2024-01-12,"2023-05-25 18:47","2024-04-13 09:21","2023-09-29 14:50","2024-02-05 19:52:00","2024-02-28 16:01:00","2024-02-28 16:01:00",10:24,40:07,0,59,"21,6",42.3,"14,99",35.49,22.29328093,0,16,99,67,0,0,1,0,2,a,1,0,0,,,,,49,34,83,2401,0,"Pre-requisite field: [prereq_yesno] = '1' or [prereq_date] > '2024-01-01'    Target field: two_prereq_or    Desired outcome: With a value in the target, no missing value is identified.",4,0,0,0,1,1,2025-03-17,1,123456,1,0,0,,,,0,,,,0,,,0
12,event_1_arm_1,files_notes_descriptions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,event_1_arm_1,,,,0,,0,quis@do.com,culpa,"(555) 555-1453","commodo nulla consequat. occaecat",41678,0,2023-12-01,2023-04-22,2024-04-08,"2023-12-22 19:25","2024-03-20 03:14","2023-08-29 12:28","2024-02-15 02:39:00","2024-02-23 18:56:00","2024-02-23 18:56:00",08:36,59:57,0,85,"11,8",54.7,"31,12",89.90,21.16915345,0,28,49,56,0,0,0,1,2,a,1,1,0,,,,,36,11,47,1296,0,"Pre-requisite field: [prereq_checkbox(1)] = '1' or [prereq_number] = '5' (This tests the use of a checkbox in the branching logic. In this case, the checkbox satisfies the logic)    Target field: two_prereq_and_one_check    Desired outcome: With no value in the target, a missing value is identified.",4,1,0,0,0,1,2023-03-09,0,123456,0,0,1,,,,,,,,0,,,0
13,event_1_arm_1,files_notes_descriptions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,event_1_arm_1,,,,0,,0,culpa@occaecat.net,nulla,"(555) 555-3201","ex consectetur elit, adipiscing",01294,0,2023-06-19,2023-09-06,2024-01-26,"2023-06-20 13:49","2023-10-05 10:46","2023-11-22 08:55","2023-06-30 10:13:00","2023-07-04 03:54:00","2023-07-04 03:54:00",05:52,19:27,0,56,"19,7",59.3,"39,96",76.07,28.94482846,0,23,81,8,0,1,0,0,1,c,1,1,0,,,,,40,40,80,1600,0,"Pre-requisite field: [prereq_checkbox(1)] = '1' or [prereq_number] = '5' (This tests the use of a checkbox in the branching logic. In this case, the number field satisfies the logic)    Target field: two_prereq_and_one_check    Desired outcome: With no value in the target, a missing value is identified.",4,0,0,0,1,5,2023-03-09,0,123456,1,1,0,,,,,,,,0,,,0
14,event_1_arm_1,files_notes_descriptions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,event_1_arm_1,,,,0,,0,dolor@laborum.net,occaecat,"(555) 555-7509","ut ullamco mollit Duis",94378,0,2023-11-10,2023-12-05,2024-01-02,"2024-01-08 12:47","2024-02-10 00:22","2023-07-09 18:43","2024-01-26 07:22:00","2024-04-01 16:28:00","2024-04-01 16:28:00",19:42,06:06,0,81,"16,5",64.3,"20,54",46.49,28.02017076,0,34,64,47,0,1,0,1,3,b,1,1,0,,,,,22,27,49,484,0,"Pre-requisite field: [prereq_checkbox(1)] = '1' or [prereq_number] = '5' (This tests the use of a checkbox in the branching logic. In this case, the checkbox satisfies the logic)    Target field: two_prereq_and_one_check    Desired outcome: With a value in the target, no missing value is identified.",4,0,0,0,1,5,2023-03-09,0,123456,1,0,1,,,,,value,,,0,,,0
15,event_1_arm_1,files_notes_descriptions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,event_1_arm_1,,,,0,,0,proident@in.net,deserunt,"(555) 555-7365","nisi ullamco Ut nostrud",07859,0,2023-09-07,2024-04-07,2023-06-22,"2024-04-06 07:33","2023-08-23 07:22","2023-08-11 05:10","2024-03-06 08:39:00","2023-05-08 19:10:00","2023-05-08 19:10:00",14:15,41:51,0,49,"11,5",30.6,"18,83",84.50,25.10359681,0,29,45,61,0,0,1,0,3,a,0,0,0,,,,,19,13,32,361,0,"Pre-requisite field: ([prereq_radio] = '2' and [prereq_yesno] = '0') or [prereq_checkbox(2)] = '1'      Target field: three_prereq_andor    Desired outcome: With no value in the target, a missing value is identified.",2,0,0,0,1,1,2023-03-09,0,123456,1,1,1,,,,,,,,0,,,0
16,event_1_arm_1,files_notes_descriptions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,event_1_arm_1,,,,0,,0,Duis@reprehenderit.com,tempor,"(555) 555-5407","dolor laboris dolor aliqua.",58201,0,2023-10-28,2024-01-08,2024-03-28,"2023-11-15 17:07","2023-09-03 05:53","2024-01-21 18:02","2023-05-18 02:16:00","2024-03-26 01:42:00","2024-03-26 01:42:00",00:13,59:52,0,37,"15,5",75.5,"12,42",70.03,13.28997586,0,15,11,73,0,1,1,0,3,b,0,0,0,,,,,37,14,51,1369,0,"Pre-requisite field: ([prereq_radio] = '2' and [prereq_yesno] = '0') or [prereq_checkbox(2)] = '1'    Target field: three_prereq_andor    Desired outcome: With a value in the target, no missing value is identified.",4,0,1,0,0,1,2023-03-09,0,123456,1,0,0,,,,,,2,,0,,,0
17,event_1_arm_1,files_notes_descriptions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,event_1_arm_1,,,,0,,0,sunt@dolor.net,fugiat,"(555) 555-4651","do culpa amet, aliquip",98652,0,2023-07-26,2024-04-08,2023-09-11,"2023-04-21 23:41","2023-06-26 00:10","2024-01-29 09:47","2023-09-08 12:47:00","2023-11-14 18:40:00","2023-11-14 18:40:00",02:06,06:06,0,99,"42,2",70.8,"47,75",87.57,15.88705693,0,45,15,87,0,0,1,0,3,a,1,1,0,,,,,46,43,89,2116,0,"Pre-requisite field: [prereq_number] < 0      Target field: one_prereq_inequality    Desired outcome: With no value in the target, a missing value is identified.",4,0,0,0,1," -100",2023-03-09,0,123456,0,1,0,,,,,,,,0,,,0
18,event_1_arm_1,files_notes_descriptions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,event_1_arm_1,,,,0,,0,esse@id.net,anim,"(555) 555-6839","eu dolore deserunt occaecat",82459,0,2023-11-13,2024-02-19,2023-09-17,"2024-02-04 15:29","2024-04-11 19:35","2024-02-09 22:01","2023-05-29 00:44:00","2023-07-12 11:15:00","2023-07-12 11:15:00",07:44,45:22,0,53,"14,9",50.3,"17,43",60.55,11.94072008,0,29,91,15,0,0,1,0,1,b,0,1,0,,,,,26,38,64,676,0,"Pre-requisite field: [prereq_number] < 0    Target field: one_prereq_inequality    Desired outcome: With a value in the target, no missing value is identified.",4,0,0,0,1," -100",2023-03-09,0,123456,0,1,0,,,,,,,0,0,,,0
19,event_1_arm_1,files_notes_descriptions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,event_1_arm_1,,,,0,,0,eu@ea.org,id,"(555) 555-4036","ea commodo reprehenderit ex",34860,0,2023-08-14,2023-07-02,2024-03-25,"2023-08-02 12:18","2024-02-24 09:48","2024-03-28 09:56","2023-05-21 23:42:00","2023-06-05 00:15:00","2023-06-05 00:15:00",16:15,44:02,0,55,"40,2",74.7,"35,07",56.35,15.45994172,0,11,9,64,0,1,1,0,2,b,1,1,0,,,,,30,42,72,900,0,"Tests if we can detect multiple missing values.     Desired result: missing values for the non-checkbox prerequisites and the evaluation fields that have no branching logic.",,0,0,0,0,,,,,0,0,0,,,,,,,,0,,,0
20,event_1_arm_1,files_notes_descriptions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

